epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,7.13744,0.8518,1.13702,2.06251,1.10681,0.95497,0.66283,0.82969,0.67165,0.95497,0.66283,0.83002,0.73854,0.67788,0.82014,2.50939,1.08733,0.000654321,0.000654321,0.000654321
2,12.4115,0.80816,0.68348,1.41097,1.06376,0.95103,0.82292,0.86427,0.69597,0.95103,0.82292,0.86427,0.76975,0.77459,0.68083,1.49012,1.0937,0.00129483,0.00129483,0.00129483
3,17.612,0.83162,0.74322,1.27729,1.04699,0.96296,0.81241,0.8639,0.68804,0.96296,0.81241,0.86966,0.76556,0.78345,0.83213,1.20135,1.10978,0.00190894,0.00190894,0.00190894
4,22.8176,0.89471,0.81512,1.25043,1.08676,0.92643,0.79167,0.84287,0.63178,0.92643,0.79167,0.8429,0.72411,0.92108,0.97412,1.36307,1.23166,0.0018812,0.0018812,0.0018812
5,27.9381,0.85232,0.71799,1.12023,1.0725,0.9371,0.83333,0.87008,0.64188,0.94897,0.84375,0.88541,0.77451,0.95156,0.69774,1.17247,1.18662,0.0018416,0.0018416,0.0018416
6,33.1548,0.84528,0.70791,1.04362,1.06884,0.8844,0.8766,0.89424,0.70491,0.8844,0.8766,0.89512,0.82473,0.71332,0.50695,0.9657,1.03339,0.001802,0.001802,0.001802
7,38.2741,0.8174,0.6855,0.96127,1.05571,0.94949,0.84375,0.89841,0.74873,0.96217,0.85417,0.90858,0.84612,0.65097,0.48168,0.8386,1.02141,0.0017624,0.0017624,0.0017624
8,43.3243,0.7597,0.6074,0.90618,1.03427,0.92828,0.809,0.86842,0.66233,0.92828,0.809,0.87024,0.79218,0.82036,0.5605,0.93453,1.10986,0.0017228,0.0017228,0.0017228
9,48.3244,0.81047,0.67362,0.91039,1.06227,0.9423,0.875,0.90239,0.77727,0.97617,0.86458,0.9112,0.8532,0.61305,0.46953,0.71821,0.99343,0.0016832,0.0016832,0.0016832
10,53.4124,0.74735,0.59778,0.82605,1.02708,0.96579,0.88234,0.90978,0.78053,0.95588,0.90267,0.91012,0.83424,0.63727,0.52503,0.5865,0.99006,0.0016436,0.0016436,0.0016436
11,58.4632,0.74457,0.61367,0.77679,0.99963,0.96628,0.89545,0.91733,0.7837,0.96628,0.89545,0.91733,0.85999,0.61805,0.42877,0.66892,0.99714,0.001604,0.001604,0.001604
12,63.4766,0.70949,0.59084,0.74935,1.01553,0.94374,0.87371,0.91132,0.7999,0.94374,0.87371,0.91132,0.85754,0.58475,0.43473,0.59316,0.96807,0.0015644,0.0015644,0.0015644
13,68.7244,0.71043,0.64965,0.76293,1.01178,0.95346,0.875,0.88879,0.76471,0.95346,0.875,0.88879,0.84371,0.5927,0.46924,0.59597,0.9697,0.0015248,0.0015248,0.0015248
14,74.5742,0.74038,0.68204,0.76973,1.03916,0.92651,0.91932,0.91951,0.79643,0.95798,0.89583,0.92862,0.86202,0.54577,0.42454,0.51634,0.95374,0.0014852,0.0014852,0.0014852
15,81.214,0.68459,0.58567,0.70744,1.003,0.96509,0.86392,0.90347,0.80915,0.97673,0.8743,0.90776,0.86011,0.49476,0.37349,0.56123,0.94231,0.0014456,0.0014456,0.0014456
16,88.1958,0.65435,0.53872,0.68338,0.991,0.94261,0.90625,0.90549,0.81163,0.94261,0.90625,0.90549,0.8608,0.50696,0.48259,0.5591,0.94422,0.001406,0.001406,0.001406
17,94.8082,0.64974,0.59572,0.67511,0.98794,0.98475,0.90625,0.92502,0.8101,0.98475,0.90625,0.92502,0.87362,0.52199,0.39659,0.46027,0.9773,0.0013664,0.0013664,0.0013664
18,101.767,0.65421,0.569,0.63378,0.98394,0.97691,0.88145,0.90383,0.80146,0.97691,0.88145,0.90383,0.8575,0.51384,0.42363,0.50833,0.9301,0.0013268,0.0013268,0.0013268
19,108.514,0.63144,0.55321,0.58637,0.97038,0.94499,0.89474,0.91166,0.81027,0.96623,0.89406,0.91231,0.87036,0.50409,0.40075,0.53155,0.94592,0.0012872,0.0012872,0.0012872
20,114.428,0.61083,0.55413,0.60821,0.97655,0.97455,0.875,0.91752,0.83221,0.97455,0.875,0.92103,0.88509,0.50007,0.39899,0.52665,0.95579,0.0012476,0.0012476,0.0012476
21,120.246,0.56609,0.54525,0.59564,0.96665,0.96367,0.91667,0.92172,0.82534,0.96367,0.91667,0.92172,0.87519,0.48048,0.41748,0.47627,0.94868,0.001208,0.001208,0.001208
22,125.315,0.57114,0.55981,0.58353,0.96418,0.98432,0.89583,0.92517,0.86246,0.98432,0.89583,0.92517,0.89615,0.41665,0.42563,0.44795,0.90458,0.0011684,0.0011684,0.0011684
23,130.539,0.58079,0.52909,0.56578,0.96252,0.96518,0.92708,0.93043,0.85908,0.96518,0.92708,0.93043,0.90523,0.44325,0.39814,0.41364,0.91695,0.0011288,0.0011288,0.0011288
24,135.692,0.55991,0.52751,0.52394,0.95522,0.96623,0.89415,0.91783,0.8171,0.97748,0.9044,0.92432,0.87482,0.48326,0.37746,0.50238,0.93294,0.0010892,0.0010892,0.0010892
25,141.051,0.56636,0.50601,0.52133,0.94844,0.93371,0.88542,0.91048,0.82183,0.95688,0.89583,0.91156,0.87898,0.47143,0.40954,0.49616,0.92501,0.0010496,0.0010496,0.0010496
26,146.202,0.56119,0.49887,0.53484,0.94929,0.97489,0.91667,0.92184,0.85157,0.97489,0.91667,0.92184,0.8901,0.41604,0.38441,0.42987,0.89944,0.00101,0.00101,0.00101
27,151.485,0.53171,0.50478,0.49663,0.94963,0.96423,0.91667,0.92691,0.85506,0.96423,0.91667,0.92691,0.89772,0.42947,0.35891,0.43094,0.89659,0.0009704,0.0009704,0.0009704
28,157.818,0.53655,0.50641,0.51638,0.93929,0.967,0.9158,0.93281,0.85942,0.967,0.9158,0.93183,0.91373,0.4138,0.34477,0.4278,0.90327,0.0009308,0.0009308,0.0009308
29,165.056,0.53588,0.51762,0.53451,0.95083,0.95166,0.91667,0.93422,0.86605,0.95166,0.91667,0.93462,0.90253,0.38539,0.36161,0.35709,0.87312,0.0008912,0.0008912,0.0008912
30,171.315,0.53989,0.48509,0.50471,0.93817,0.97638,0.91667,0.93481,0.86219,0.97638,0.91667,0.93864,0.89645,0.40809,0.4113,0.38359,0.89327,0.0008516,0.0008516,0.0008516
31,177.297,0.52664,0.50613,0.48683,0.94022,0.98819,0.92708,0.93905,0.87303,0.98819,0.92708,0.94467,0.9157,0.38674,0.33212,0.31285,0.87903,0.000812,0.000812,0.000812
32,182.892,0.51276,0.50815,0.46636,0.92836,0.94697,0.9375,0.94047,0.86793,0.94697,0.9375,0.94927,0.92247,0.41468,0.32615,0.32752,0.89678,0.0007724,0.0007724,0.0007724
33,189.159,0.51313,0.48127,0.45453,0.93867,0.98724,0.9375,0.94727,0.88689,0.98724,0.9375,0.95059,0.91846,0.39628,0.33265,0.29499,0.88507,0.0007328,0.0007328,0.0007328
34,195.025,0.4967,0.46438,0.44731,0.9319,0.98659,0.90625,0.93904,0.87741,0.98659,0.90625,0.94258,0.92221,0.36781,0.34928,0.37821,0.8669,0.0006932,0.0006932,0.0006932
